hr-a4vlb.nfo	-	11987	1	0	0	0
hr-a4vlb.r00	-	50000000	1	11987	0	1
hr-a4vlb.r01	-	50000000	1	50011987	0	49
hr-a4vlb.r02	-	50000000	1	100011987	0	97
hr-a4vlb.r03	-	50000000	1	150011987	0	145
hr-a4vlb.r04	-	50000000	1	200011987	0	193
hr-a4vlb.r05	-	50000000	1	250011987	0	241
hr-a4vlb.r06	-	50000000	1	300011987	0	289
hr-a4vlb.r07	-	50000000	1	350011987	0	337
hr-a4vlb.r08	-	50000000	1	400011987	0	385
hr-a4vlb.r09	-	50000000	1	450011987	0	433
hr-a4vlb.r10	-	50000000	1	500011987	0	481
hr-a4vlb.r11	-	50000000	1	12251264	1	12
hr-a4vlb.r12	-	50000000	1	62251264	1	60
hr-a4vlb.r13	-	50000000	1	112251264	1	108
hr-a4vlb.r14	-	50000000	1	162251264	1	156
hr-a4vlb.r15	-	50000000	1	212251264	1	204
hr-a4vlb.r16	-	50000000	1	262251264	1	252
hr-a4vlb.r17	-	50000000	1	312251264	1	300
hr-a4vlb.r18	-	50000000	1	362251264	1	348
hr-a4vlb.r19	-	50000000	1	412251264	1	396
hr-a4vlb.r20	-	50000000	1	462251264	1	444
hr-a4vlb.r21	-	50000000	1	512251264	1	492
hr-a4vlb.r22	-	50000000	1	24834176	2	24
hr-a4vlb.r23	-	50000000	1	74834176	2	72
hr-a4vlb.r24	-	50000000	1	124834176	2	120
hr-a4vlb.r25	-	50000000	1	174834176	2	168
hr-a4vlb.r26	-	50000000	1	224834176	2	216
hr-a4vlb.r27	-	50000000	1	274834176	2	264
hr-a4vlb.r28	-	50000000	1	324834176	2	312
hr-a4vlb.r29	-	50000000	1	374834176	2	360
hr-a4vlb.r30	-	50000000	1	424834176	2	408
hr-a4vlb.r31	-	50000000	1	474834176	2	456
hr-a4vlb.r32	-	50000000	1	524834176	2	504
hr-a4vlb.r33	-	50000000	1	37417088	3	36
hr-a4vlb.r34	-	50000000	1	87417088	3	84
hr-a4vlb.r35	-	50000000	1	137417088	3	132
hr-a4vlb.r36	-	50000000	1	187417088	3	180
hr-a4vlb.r37	-	50000000	1	237417088	3	228
hr-a4vlb.r38	-	50000000	1	287417088	3	276
hr-a4vlb.r39	-	50000000	1	337417088	3	324
hr-a4vlb.r40	-	50000000	1	387417088	3	372
hr-a4vlb.r41	-	50000000	1	437417088	3	420
hr-a4vlb.r42	-	50000000	1	487417088	3	468
hr-a4vlb.r43	-	50000000	1	0	4	0
hr-a4vlb.r44	-	50000000	1	50000000	4	48
hr-a4vlb.r45	-	50000000	1	100000000	4	96
hr-a4vlb.r46	-	50000000	1	150000000	4	144
hr-a4vlb.r47	-	50000000	1	200000000	4	192
hr-a4vlb.r48	-	50000000	1	250000000	4	240
hr-a4vlb.r49	-	50000000	1	300000000	4	288
hr-a4vlb.r50	-	50000000	1	350000000	4	336
hr-a4vlb.r51	-	50000000	1	400000000	4	384
hr-a4vlb.r52	-	50000000	1	450000000	4	432
hr-a4vlb.r53	-	50000000	1	500000000	4	480
hr-a4vlb.r54	-	50000000	1	12251264	5	12
hr-a4vlb.r55	-	50000000	1	62251264	5	60
hr-a4vlb.r56	-	50000000	1	112251264	5	108
hr-a4vlb.r57	-	50000000	1	162251264	5	156
hr-a4vlb.r58	-	50000000	1	212251264	5	204
hr-a4vlb.r59	-	50000000	1	262251264	5	252
hr-a4vlb.r60	-	50000000	1	312251264	5	300
hr-a4vlb.r61	-	50000000	1	362251264	5	348
hr-a4vlb.r62	-	50000000	1	412251264	5	396
hr-a4vlb.r63	-	50000000	1	462251264	5	444
hr-a4vlb.r64	-	50000000	1	512251264	5	492
hr-a4vlb.r65	-	50000000	1	24834176	6	24
hr-a4vlb.r66	-	50000000	1	74834176	6	72
hr-a4vlb.r67	-	50000000	1	124834176	6	120
hr-a4vlb.r68	-	50000000	1	174834176	6	168
hr-a4vlb.r69	-	50000000	1	224834176	6	216
hr-a4vlb.r70	-	50000000	1	274834176	6	264
hr-a4vlb.r71	-	50000000	1	324834176	6	312
hr-a4vlb.r72	-	50000000	1	374834176	6	360
hr-a4vlb.r73	-	50000000	1	424834176	6	408
hr-a4vlb.r74	-	50000000	1	474834176	6	456
hr-a4vlb.r75	-	50000000	1	524834176	6	504
hr-a4vlb.r76	-	50000000	1	37417088	7	36
hr-a4vlb.r77	-	50000000	1	87417088	7	84
hr-a4vlb.r78	-	50000000	1	137417088	7	132
hr-a4vlb.r79	-	50000000	1	187417088	7	180
hr-a4vlb.r80	-	50000000	1	237417088	7	228
